date,day,month,is_weekend,is_holiday,tourist_spot,altitude_m,max_temp_c,min_temp_c,humidity_percent,wind_speed_kmh,weather_condition,crowd_level
2023-01-01,Sunday,1,TRUE,TRUE,Gangtok,1650,16.496056983613478,12.861735698828817,61.94306561430208,5.761514928204012,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Khecheopalri Lake,1650,15.619015950331995,12.76586304305082,64.73763844652217,5.383717364576454,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Lachung,1650,15.33663073687806,13.542560043585963,58.60974692156261,4.767135123214872,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Namchi,1650,16.190354725879242,11.086719755342202,54.8252465024609,4.718856235379514,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Nathula Pass,1650,14.684602655598692,13.314247332595274,57.275927773436365,4.293848149332354,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Pelling,1650,17.658778522705866,12.774223699513463,60.202584614063774,4.287625906893272,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Pemayangtse Monastery,1650,15.246740730569782,13.110922589709864,56.54701926773309,5.187849009172836,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Ranka Monastery,1650,15.179233572097434,12.708306250206723,58.19488016331181,5.926139092254469,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Rumtek Monastery,1650,15.88380333031448,11.9422890710441,62.46763473630957,4.389578175014488,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Tsomgo Lake,1650,16.150636314005705,11.040329876120223,56.01544185330471,5.098430617934562,Clear,High
2023-01-01,Sunday,1,TRUE,TRUE,Yumthang Valley,1650,16.786159895994494,13.17136828118997,59.65305515283528,4.849448152205356,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Gangtok,1650,14.125773611559088,12.280155791605292,58.61808368712064,5.528561113109458,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Khecheopalri Lake,1650,16.312341947482153,11.236959844637266,60.97225190818438,4.807458859791842,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Lachung,1650,15.08769359963285,13.611676288840869,63.092998567487854,5.465640059558099,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Namchi,1650,14.892938972132834,12.690787624148786,60.99379029421069,5.48777256356118,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Nathula Pass,1650,15.324990914585651,12.814341023336183,56.68099507798192,4.401896687959665,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Pelling,1650,16.87503098687304,14.356240028570824,59.783969635259,5.501766448946012,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Pemayangtse Monastery,1650,16.33396323005716,12.354880245394876,61.08418681652524,5.769018283232985,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Ranka Monastery,1650,15.857008753068058,14.564643655814006,52.140764687730766,5.410951252187612,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Rumtek Monastery,1650,16.004456481885807,12.700992649534133,60.275282329606505,4.006215542699554,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Tsomgo Lake,1650,15.636393734594986,13.357112571511747,64.43368213422455,4.740864890863176,Clear,High
2023-01-02,Monday,1,FALSE,FALSE,Yumthang Valley,1650,14.929807676528176,12.498242956415464,62.746206353106224,5.164375554829842,Clear,High
