date,day,month,is_weekend,is_holiday,tourist_spot,altitude_m,max_temp_c,min_temp_c,humidity_percent,wind_speed_kmh,weather_condition,crowd_level
2024-01-01,Monday,1,False,True,Gangtok,1650,15.0,11.4,68.2,3.8,cloudy,High
2024-01-01,Monday,1,False,True,Tsomgo Lake,3753,14.6,11.9,68.4,3.2,cloudy,Medium
2024-01-01,Monday,1,False,True,Nathula Pass,4310,14.1,11.3,71.7,3.5,cloudy,High
2024-01-01,Monday,1,False,True,Pelling,2150,13.8,10.0,63.0,3.5,cloudy,High
2024-01-01,Monday,1,False,True,Yuksom,1780,16.5,11.8,62.4,3.3,cloudy,Medium
2024-01-01,Monday,1,False,True,Ravangla,2100,13.8,11.6,71.2,2.3,cloudy,High
2024-01-01,Monday,1,False,True,Namchi,1675,15.1,10.8,68.5,3.2,cloudy,High
2024-01-01,Monday,1,False,True,Lachung,2600,15.2,10.3,67.2,3.9,cloudy,Medium
2024-01-01,Monday,1,False,True,Lachen,2750,13.9,10.1,68.5,3.1,cloudy,High
2024-01-01,Monday,1,False,True,Rumtek Monastery,1500,15.3,11.1,64.6,3.6,cloudy,Medium
2024-01-01,Monday,1,False,True,Zuluk,2865,14.0,11.9,71.3,2.7,cloudy,High
2024-01-02,Tuesday,1,False,False,Gangtok,1650,15.5,11.6,67.7,2.5,cloudy,Medium
2024-01-02,Tuesday,1,False,False,Tsomgo Lake,3753,14.1,11.2,66.8,3.7,cloudy,Low
2024-01-02,Tuesday,1,False,False,Nathula Pass,4310,15.6,11.3,69.5,3.5,cloudy,Low
2024-01-02,Tuesday,1,False,False,Pelling,2150,15.7,10.5,71.9,3.0,cloudy,Medium
2024-01-02,Tuesday,1,False,False,Yuksom,1780,16.4,10.4,68.3,3.8,cloudy,Low
2024-01-02,Tuesday,1,False,False,Ravangla,2100,14.7,11.2,68.1,3.6,cloudy,Low
2024-01-02,Tuesday,1,False,False,Namchi,1675,15.1,10.2,65.5,3.3,cloudy,Medium
2024-01-02,Tuesday,1,False,False,Lachung,2600,15.8,10.5,63.4,2.8,cloudy,Low
